,Unique_Id,Location,Tansaction_Type,Property_Type,Address,Bedrooms,Bathrooms,Price,Description,Listing_Date,Agent,Listing_Source,listing_URL
0,TW9S00001,TW9,Sales,Terraced,"Grena Gardens, Richmond, TW9",4,2,"£1,175,000","CHAIN FREE. An attractive four bedroom terraced house built sometime just after the turn of the last century, located on a sought after residential road to the east of central Richmond in a great position for access to two of Richmond’s well-known Ofsted Outstanding rated primary schools. T...",Reduced on 19/04/2023,Allow all cookies,RightMove,https://www.rightmove.co.uk/property-for-sale/find.html?searchType=SALE&locationIdentifier=OUTCODE%5E2732&insId=1&radius=0.0&minPrice=&maxPrice=&minBedrooms=&maxBedrooms=&displayPropertyType=&maxDaysSinceAdded=&_includeSSTC=on&sortByPriceDescending=&primaryDisplayPropertyType=&secondaryDisplayPropertyType=&oldDisplayPropertyType=&oldPrimaryDisplayPropertyType=&newHome=&auction=false
1,TW9S00002,TW9,Sales,Block of Apartments,"George Street, Richmond, Surrey, TW9",7,14,"£5,500,000","The subject property comprises a well configured ground floor retail unit with benefit of rear access from Red Lion Street.The upper parts (first to third floors) comprise recently developed residential accommodation providing 1 x 2 bed, 1 x 1 bed + study and 4 x 1 bed apartments.",NEW HOME,"Reduced on 19/04/2023 by Curchods Estate Agents, Kingston",RightMove,https://www.rightmove.co.uk/property-for-sale/find.html?searchType=SALE&locationIdentifier=OUTCODE%5E2732&insId=1&radius=0.0&minPrice=&maxPrice=&minBedrooms=&maxBedrooms=&displayPropertyType=&maxDaysSinceAdded=&_includeSSTC=on&sortByPriceDescending=&primaryDisplayPropertyType=&secondaryDisplayPropertyType=&oldDisplayPropertyType=&oldPrimaryDisplayPropertyType=&newHome=&auction=false
2,TW9S00003,TW9,Sales,Detached,"Kew Road, Richmond, TW9",17,4,"£5,500,000","**A Fabulous Investment Opportunity to purchase this Freehold Residential Corner Plot opposite the Royal Botanical Gardens in Kew** Constructed around the 1890's with a three story side extension which was added in 1992, the building has been converted to provide fourteen self-containe...",Added on 10/03/2023,NEW HOME,RightMove,https://www.rightmove.co.uk/property-for-sale/find.html?searchType=SALE&locationIdentifier=OUTCODE%5E2732&insId=1&radius=0.0&minPrice=&maxPrice=&minBedrooms=&maxBedrooms=&displayPropertyType=&maxDaysSinceAdded=&_includeSSTC=on&sortByPriceDescending=&primaryDisplayPropertyType=&secondaryDisplayPropertyType=&oldDisplayPropertyType=&oldPrimaryDisplayPropertyType=&newHome=&auction=false
3,TW9S00004,TW9,Sales,Detached,"Creefleet House, Kew Road, Richmond, Surrey, TW9",13,3,"£5,500,000","Rare investment opportunity to acquire a freehold detached property consisting of 14 studios/1 & 2 bedroom flats, all currently rented on ASTs (see agents for details).",NEW HOME,"Added on 10/03/2023 by Clifton Agency, London",RightMove,https://www.rightmove.co.uk/property-for-sale/find.html?searchType=SALE&locationIdentifier=OUTCODE%5E2732&insId=1&radius=0.0&minPrice=&maxPrice=&minBedrooms=&maxBedrooms=&displayPropertyType=&maxDaysSinceAdded=&_includeSSTC=on&sortByPriceDescending=&primaryDisplayPropertyType=&secondaryDisplayPropertyType=&oldDisplayPropertyType=&oldPrimaryDisplayPropertyType=&newHome=&auction=false
4,TW9S00005,TW9,Sales,Detached,"Cumberland Road, Kew, Surrey, TW9",6,2,"£5,250,000","Outstanding 6 bedroom luxury home in one of Kew's finest roads with spectacular swimming pool, beautiful lawned garden and gated carriage driveway providing parking for several cars.",Added on 15/09/2021,NEW HOME,RightMove,https://www.rightmove.co.uk/property-for-sale/find.html?searchType=SALE&locationIdentifier=OUTCODE%5E2732&insId=1&radius=0.0&minPrice=&maxPrice=&minBedrooms=&maxBedrooms=&displayPropertyType=&maxDaysSinceAdded=&_includeSSTC=on&sortByPriceDescending=&primaryDisplayPropertyType=&secondaryDisplayPropertyType=&oldDisplayPropertyType=&oldPrimaryDisplayPropertyType=&newHome=&auction=false
5,TW9S00006,TW9,Sales,Detached,"Branstone Road, Kew, Richmond, Surrey, TW9",6,3,"£4,750,000",An elegant and substantial Victorian residence in a quiet and highly desirable road in central Kew.,Added on 15/09/2021,"Added on 15/09/2021 by Featherstone Leigh, Kew Gardens",RightMove,https://www.rightmove.co.uk/property-for-sale/find.html?searchType=SALE&locationIdentifier=OUTCODE%5E2732&insId=1&radius=0.0&minPrice=&maxPrice=&minBedrooms=&maxBedrooms=&displayPropertyType=&maxDaysSinceAdded=&_includeSSTC=on&sortByPriceDescending=&primaryDisplayPropertyType=&secondaryDisplayPropertyType=&oldDisplayPropertyType=&oldPrimaryDisplayPropertyType=&newHome=&auction=false
6,TW9S00007,TW9,Sales,Detached,"West Hall Manor, West Hall Road, Kew, TW9",7,3,"£4,300,000",Magnificent Manor house currently undergoing a restoration programme affording a wealth of family accommodation of gracious proportions over three floors plus cellarage.,Reduced on 06/04/2023,"Added on 15/09/2021 by Antony Roberts Estate Agents, Kew - Sales",RightMove,https://www.rightmove.co.uk/property-for-sale/find.html?searchType=SALE&locationIdentifier=OUTCODE%5E2732&insId=1&radius=0.0&minPrice=&maxPrice=&minBedrooms=&maxBedrooms=&displayPropertyType=&maxDaysSinceAdded=&_includeSSTC=on&sortByPriceDescending=&primaryDisplayPropertyType=&secondaryDisplayPropertyType=&oldDisplayPropertyType=&oldPrimaryDisplayPropertyType=&newHome=&auction=false
7,TW9S00008,TW9,Sales,Semi-Detached,"Pembroke Villas, The Green, Richmond, Surrey, TW9",5,2,"£4,250,000",A striking early Victorian home on Richmond Green,Reduced on 03/05/2023,"Reduced on 06/04/2023 by Antony Roberts Estate Agents, Kew - Sales",RightMove,https://www.rightmove.co.uk/property-for-sale/find.html?searchType=SALE&locationIdentifier=OUTCODE%5E2732&insId=1&radius=0.0&minPrice=&maxPrice=&minBedrooms=&maxBedrooms=&displayPropertyType=&maxDaysSinceAdded=&_includeSSTC=on&sortByPriceDescending=&primaryDisplayPropertyType=&secondaryDisplayPropertyType=&oldDisplayPropertyType=&oldPrimaryDisplayPropertyType=&newHome=&auction=false
8,TW9S00009,TW9,Sales,Semi-Detached,"Pembroke Villas, The Green, Richmond, TW9",5,4,"£4,250,000","This iconic five bedroomed villa comprises one of ten, grand, late Georgian/early Victorian properties overlooking the far side of Richmond Green. The Grade II listed Villas seldom become available to buy and are highly sought after. This particular villa will provide the new owner with ample opp...",Reduced on 27/04/2022,"Reduced on 03/05/2023 by W. Hallett & Co, Kew",RightMove,https://www.rightmove.co.uk/property-for-sale/find.html?searchType=SALE&locationIdentifier=OUTCODE%5E2732&insId=1&radius=0.0&minPrice=&maxPrice=&minBedrooms=&maxBedrooms=&displayPropertyType=&maxDaysSinceAdded=&_includeSSTC=on&sortByPriceDescending=&primaryDisplayPropertyType=&secondaryDisplayPropertyType=&oldDisplayPropertyType=&oldPrimaryDisplayPropertyType=&newHome=&auction=false
9,TW9S00010,TW9,Sales,Detached,"West Hall Road, Richmond, TW9",6,2,"£4,150,000",A unique opportunity to acquire this Grade II listed Manor House in Kew. The property originally dates back to the 14th Century but was later re-built in the early 1700’s with many of the original Georgian features still on show,Reduced on 28/02/2023,"Reduced on 27/04/2022 by Antony Roberts Estate Agents, Kew - Sales",RightMove,https://www.rightmove.co.uk/property-for-sale/find.html?searchType=SALE&locationIdentifier=OUTCODE%5E2732&insId=1&radius=0.0&minPrice=&maxPrice=&minBedrooms=&maxBedrooms=&displayPropertyType=&maxDaysSinceAdded=&_includeSSTC=on&sortByPriceDescending=&primaryDisplayPropertyType=&secondaryDisplayPropertyType=&oldDisplayPropertyType=&oldPrimaryDisplayPropertyType=&newHome=&auction=false
