,Unique_Id,Location,Tansaction_Type,Property_Type,Address,Bedrooms,Bathrooms,Price,Description,Listing_Date,Agent,Listing_Source,listing_URL
0,SW1VS00001,SW1V,Sales,Apartment,"Alderney Street, London, SW1V",1,1,"£665,000",This is a superb one bedroom apartment on the second floor with a private roof terrace.,Reduced on 27/04/2023,Allow all cookies,RightMove,https://www.rightmove.co.uk/property-for-sale/find.html?searchType=SALE&locationIdentifier=OUTCODE%5E2510&insId=1&radius=0.0&minPrice=&maxPrice=&minBedrooms=&maxBedrooms=&displayPropertyType=&maxDaysSinceAdded=&_includeSSTC=on&sortByPriceDescending=&primaryDisplayPropertyType=&secondaryDisplayPropertyType=&oldDisplayPropertyType=&oldPrimaryDisplayPropertyType=&newHome=&auction=false
1,SW1VS00002,SW1V,Sales,Terraced,"Lupus Street, London, SW1V",9,6,"£3,600,000","An excellent and increasingly rare opportunity to acquire this freehold building of six self contained flats, situated in this period stucco fronted building in Pimlico. The building comprises 3 two bedroom and 3 one bedroom flats spread over six floors, all are good condition and currently let.",Reduced on 08/03/2023,"Reduced on 27/04/2023 by Hamptons Sales, Pimlico Sales",RightMove,https://www.rightmove.co.uk/property-for-sale/find.html?searchType=SALE&locationIdentifier=OUTCODE%5E2510&insId=1&radius=0.0&minPrice=&maxPrice=&minBedrooms=&maxBedrooms=&displayPropertyType=&maxDaysSinceAdded=&_includeSSTC=on&sortByPriceDescending=&primaryDisplayPropertyType=&secondaryDisplayPropertyType=&oldDisplayPropertyType=&oldPrimaryDisplayPropertyType=&newHome=&auction=false
2,SW1VS00003,SW1V,Sales,Flat,"St. George's Square, SW1V",4,3,"£3,300,000","A rare and unique opportunity to acquire this maisonette occupying three floors in this period conversion on St Georges Square. The living accommodation offers two double bedrooms (one en-suite), one bathroom and small private patio on the lower ground floor. The ground floor comprises of a very..",Added on 11/10/2022,"Reduced on 08/03/2023 by Hogarth Estates, Pimlico",RightMove,https://www.rightmove.co.uk/property-for-sale/find.html?searchType=SALE&locationIdentifier=OUTCODE%5E2510&insId=1&radius=0.0&minPrice=&maxPrice=&minBedrooms=&maxBedrooms=&displayPropertyType=&maxDaysSinceAdded=&_includeSSTC=on&sortByPriceDescending=&primaryDisplayPropertyType=&secondaryDisplayPropertyType=&oldDisplayPropertyType=&oldPrimaryDisplayPropertyType=&newHome=&auction=false
3,SW1VS00004,SW1V,Sales,Flat,"St Georges Square, Pimlico, London, SW1V",4,3,"£3,300,000","Set within reach of the Thames and popular amenities, this 4 bedroom flat presents an unrivalled location. It showcases light, airy and contemporary interior design featuring exquisite windows, a patio and a balcony.",Added on 05/10/2022,"Added on 11/10/2022 by Douglas & Gordon, Pimlico",RightMove,https://www.rightmove.co.uk/property-for-sale/find.html?searchType=SALE&locationIdentifier=OUTCODE%5E2510&insId=1&radius=0.0&minPrice=&maxPrice=&minBedrooms=&maxBedrooms=&displayPropertyType=&maxDaysSinceAdded=&_includeSSTC=on&sortByPriceDescending=&primaryDisplayPropertyType=&secondaryDisplayPropertyType=&oldDisplayPropertyType=&oldPrimaryDisplayPropertyType=&newHome=&auction=false
4,SW1VS00005,SW1V,Sales,Apartment,"St. Georges Square, Pimlico, SW1V",4,2,"£3,300,000",**3D Virtual Viewing Available ** 4 bed | 4 Bath | Luxury Multi Duplex Apartment | 2336 SqFt | 120m to River | Located Around Historic Garden Square | 3.6m Ceiling Heights Approx | Private Terrace With Views Onto The Square | Restored Period Features | Open Plan Kitchen With Appliances | Lift Acc...,ONLINE VIEWING,"Added on 05/10/2022 by Foxtons, Pimlico",RightMove,https://www.rightmove.co.uk/property-for-sale/find.html?searchType=SALE&locationIdentifier=OUTCODE%5E2510&insId=1&radius=0.0&minPrice=&maxPrice=&minBedrooms=&maxBedrooms=&displayPropertyType=&maxDaysSinceAdded=&_includeSSTC=on&sortByPriceDescending=&primaryDisplayPropertyType=&secondaryDisplayPropertyType=&oldDisplayPropertyType=&oldPrimaryDisplayPropertyType=&newHome=&auction=false
5,SW1VS00006,SW1V,Sales,Flat,"St. George's Square, London, SW1V",4,4,"£3,300,000","A rare Victorian apartment arranged over three floors with a terrace, high ceilings, exceptional natural light and leafy views.",Added on 05/10/2022,ONLINE VIEWING,RightMove,https://www.rightmove.co.uk/property-for-sale/find.html?searchType=SALE&locationIdentifier=OUTCODE%5E2510&insId=1&radius=0.0&minPrice=&maxPrice=&minBedrooms=&maxBedrooms=&displayPropertyType=&maxDaysSinceAdded=&_includeSSTC=on&sortByPriceDescending=&primaryDisplayPropertyType=&secondaryDisplayPropertyType=&oldDisplayPropertyType=&oldPrimaryDisplayPropertyType=&newHome=&auction=false
6,SW1VS00007,SW1V,Sales,Flat,"Eccleston Square, Pimlico, London, SW1V",2,2,"£3,250,000","First floor two bedroom apartment for sale in Pimlico overlooking Eccleston Square. A stunning first-floor two-bedroom apartment benefiting from superb ceiling height and a large double reception room. The flat offers a good balance of traditional and contemporary decoration, with the benefit ...",Added on 07/10/2022,"Added on 05/10/2022 by MyLondonHome, Central London",RightMove,https://www.rightmove.co.uk/property-for-sale/find.html?searchType=SALE&locationIdentifier=OUTCODE%5E2510&insId=1&radius=0.0&minPrice=&maxPrice=&minBedrooms=&maxBedrooms=&displayPropertyType=&maxDaysSinceAdded=&_includeSSTC=on&sortByPriceDescending=&primaryDisplayPropertyType=&secondaryDisplayPropertyType=&oldDisplayPropertyType=&oldPrimaryDisplayPropertyType=&newHome=&auction=false
7,SW1VS00008,SW1V,Sales,Terraced,"Moreton Place, Pimlico, London, SW1V",4,3,"£3,000,000",A white stucco-fronted freehold house located in this fabulous address. The building is classically proportioned and provides generous entertaining space while retaining many of its period features. The property offers flexible living arranged as a single family home or two...,Added on 15/03/2023,"Added on 07/10/2022 by Hamptons Sales, Pimlico Sales",RightMove,https://www.rightmove.co.uk/property-for-sale/find.html?searchType=SALE&locationIdentifier=OUTCODE%5E2510&insId=1&radius=0.0&minPrice=&maxPrice=&minBedrooms=&maxBedrooms=&displayPropertyType=&maxDaysSinceAdded=&_includeSSTC=on&sortByPriceDescending=&primaryDisplayPropertyType=&secondaryDisplayPropertyType=&oldDisplayPropertyType=&oldPrimaryDisplayPropertyType=&newHome=&auction=false
8,SW1VS00009,SW1V,Sales,Penthouse,"Central Tower, Vauxhall Bridge Road, London, SW1V",2,2,"£2,950,000","An exceptional 2 bedroom penthouse for sale in Victoria, SW1. With roof terrace and balcony. A spacious 2 bedroom penthouse with exceptional views across Victoria and Westminster. The property consists of a large open plan kitchen and living room with a balcony on each side. The penthouse furthe...",ONLINE VIEWING,"Added on 15/03/2023 by Knight Frank, Belgravia, Westminster & Pimlico",RightMove,https://www.rightmove.co.uk/property-for-sale/find.html?searchType=SALE&locationIdentifier=OUTCODE%5E2510&insId=1&radius=0.0&minPrice=&maxPrice=&minBedrooms=&maxBedrooms=&displayPropertyType=&maxDaysSinceAdded=&_includeSSTC=on&sortByPriceDescending=&primaryDisplayPropertyType=&secondaryDisplayPropertyType=&oldDisplayPropertyType=&oldPrimaryDisplayPropertyType=&newHome=&auction=false
9,SW1VS00010,SW1V,Sales,Penthouse,"Central Tower, Vauxhall Bridge Road, London",2,2,"£2,950,000",A Stunning Two bedroom penthouse with beautiful views and an almost 900sqft roof terrace. This property is on the top floor of a purpose-built block in the heart of Victoria only moments away from Belgravia and Westminster as well as easy access in to central. The building benefits from ...,Reduced on 09/02/2023,ONLINE VIEWING,RightMove,https://www.rightmove.co.uk/property-for-sale/find.html?searchType=SALE&locationIdentifier=OUTCODE%5E2510&insId=1&radius=0.0&minPrice=&maxPrice=&minBedrooms=&maxBedrooms=&displayPropertyType=&maxDaysSinceAdded=&_includeSSTC=on&sortByPriceDescending=&primaryDisplayPropertyType=&secondaryDisplayPropertyType=&oldDisplayPropertyType=&oldPrimaryDisplayPropertyType=&newHome=&auction=false
10,SW1VS00011,SW1V,Sales,Penthouse,"Vauxhall Bridge Road, Victoria",2,2,"£2,950,000","Viewings seven days a week with Laurels! Immaculately presented and thoroughly unique penthouse in Victoria, London which offers almost 1,700sq ft of internal living space combined with over 900sq ft of private balconies. This wonderful apartment provides an abundance of space whilst offering lux...",Reduced on 31/01/2023,"Reduced on 09/02/2023 by Best Gapp, Belgravia - Sales",RightMove,https://www.rightmove.co.uk/property-for-sale/find.html?searchType=SALE&locationIdentifier=OUTCODE%5E2510&insId=1&radius=0.0&minPrice=&maxPrice=&minBedrooms=&maxBedrooms=&displayPropertyType=&maxDaysSinceAdded=&_includeSSTC=on&sortByPriceDescending=&primaryDisplayPropertyType=&secondaryDisplayPropertyType=&oldDisplayPropertyType=&oldPrimaryDisplayPropertyType=&newHome=&auction=false
11,SW1VS00012,SW1V,Sales,Terraced,"Hugh Street, London, SW1V",6,5,"£2,950,000","A fantastic and rare freehold house featuring 6 bedrooms, 5 bathrooms, 2 reception room, large front garden, two kitchens and a separate office/room in garden.",Reduced on 31/01/2023,"Reduced on 31/01/2023 by Knight Frank, Belgravia, Westminster & Pimlico",RightMove,https://www.rightmove.co.uk/property-for-sale/find.html?searchType=SALE&locationIdentifier=OUTCODE%5E2510&insId=1&radius=0.0&minPrice=&maxPrice=&minBedrooms=&maxBedrooms=&displayPropertyType=&maxDaysSinceAdded=&_includeSSTC=on&sortByPriceDescending=&primaryDisplayPropertyType=&secondaryDisplayPropertyType=&oldDisplayPropertyType=&oldPrimaryDisplayPropertyType=&newHome=&auction=false
12,SW1VS00013,SW1V,Sales,Penthouse,"Vauxhall Bridge Road, Victoria, London, SW1V",2,2,"£2,950,000","A stunning penthouse apartment located in Victoria with an exceptional roof terrace and balcony with views across Victoria and Westminster. The accommodation comprises of a large open plan kitchen, dining and reception room with feature fireplace with a cloakroom for guests, a master bedroom with...",Reduced on 31/01/2023,"Reduced on 31/01/2023 by Chatterton Rees, London",RightMove,https://www.rightmove.co.uk/property-for-sale/find.html?searchType=SALE&locationIdentifier=OUTCODE%5E2510&insId=1&radius=0.0&minPrice=&maxPrice=&minBedrooms=&maxBedrooms=&displayPropertyType=&maxDaysSinceAdded=&_includeSSTC=on&sortByPriceDescending=&primaryDisplayPropertyType=&secondaryDisplayPropertyType=&oldDisplayPropertyType=&oldPrimaryDisplayPropertyType=&newHome=&auction=false
13,SW1VS00014,SW1V,Sales,House,"Warwick Way, London",4,3,"£2,795,000","This is a beautifully presented house with flexible accommodation and the added benefit of air-conditioning throughout the property, underfloor heating in all the bathrooms and a patio and two terraces.",Reduced on 28/03/2023,"Reduced on 31/01/2023 by Laurels, London & Prime",RightMove,https://www.rightmove.co.uk/property-for-sale/find.html?searchType=SALE&locationIdentifier=OUTCODE%5E2510&insId=1&radius=0.0&minPrice=&maxPrice=&minBedrooms=&maxBedrooms=&displayPropertyType=&maxDaysSinceAdded=&_includeSSTC=on&sortByPriceDescending=&primaryDisplayPropertyType=&secondaryDisplayPropertyType=&oldDisplayPropertyType=&oldPrimaryDisplayPropertyType=&newHome=&auction=false
14,SW1VS00015,SW1V,Sales,Flat,"St. George's Square, Pimlico, SW1V",4,4,"£2,750,000","A four-five bedroom, share of freehold flat for sale on St Georges Square, Pimlico, SW1V. A four-five bedroom, share of freehold apartment located in an attractive white stucco fronted period building on St George's Square. The flat is entered on the first floor, and accommodation begins on th...",NEW HOME,"Reduced on 28/03/2023 by STRAND, London",RightMove,https://www.rightmove.co.uk/property-for-sale/find.html?searchType=SALE&locationIdentifier=OUTCODE%5E2510&insId=1&radius=0.0&minPrice=&maxPrice=&minBedrooms=&maxBedrooms=&displayPropertyType=&maxDaysSinceAdded=&_includeSSTC=on&sortByPriceDescending=&primaryDisplayPropertyType=&secondaryDisplayPropertyType=&oldDisplayPropertyType=&oldPrimaryDisplayPropertyType=&newHome=&auction=false
15,SW1VS00016,SW1V,Sales,Terraced,"Sussex Street, Pimlico, London, SW1V",5,2,"£2,650,000","Arranged over 4 floors, this beautiful 5 bedroom terraced house benefits from period features throughout and offers ample living space, modern fitted kitchen, sunny roof terrace and a private patio.",Reduced on 08/02/2023,NEW HOME,RightMove,https://www.rightmove.co.uk/property-for-sale/find.html?searchType=SALE&locationIdentifier=OUTCODE%5E2510&insId=1&radius=0.0&minPrice=&maxPrice=&minBedrooms=&maxBedrooms=&displayPropertyType=&maxDaysSinceAdded=&_includeSSTC=on&sortByPriceDescending=&primaryDisplayPropertyType=&secondaryDisplayPropertyType=&oldDisplayPropertyType=&oldPrimaryDisplayPropertyType=&newHome=&auction=false
16,SW1VS00017,SW1V,Sales,House,"Lupus Street, London, SW1V",4,4,"£2,600,000",A rare South West facing corner position property offering an abundance of natural light and extending to over 2780 square feet (including vaults).,Reduced on 15/02/2023,"Reduced on 08/02/2023 by Pastor Real Estate, Mayfair",RightMove,https://www.rightmove.co.uk/property-for-sale/find.html?searchType=SALE&locationIdentifier=OUTCODE%5E2510&insId=1&radius=0.0&minPrice=&maxPrice=&minBedrooms=&maxBedrooms=&displayPropertyType=&maxDaysSinceAdded=&_includeSSTC=on&sortByPriceDescending=&primaryDisplayPropertyType=&secondaryDisplayPropertyType=&oldDisplayPropertyType=&oldPrimaryDisplayPropertyType=&newHome=&auction=false
17,SW1VS00018,SW1V,Sales,House,"Eccleston Square Mews, London, SW1V",4,3,"£2,595,000","This exceptional and beautifully presented end of terrace mews house, has been refurbished to a high specification throughout.",Added on 01/04/2023,"Reduced on 15/02/2023 by Dexters, Westminster",RightMove,https://www.rightmove.co.uk/property-for-sale/find.html?searchType=SALE&locationIdentifier=OUTCODE%5E2510&insId=1&radius=0.0&minPrice=&maxPrice=&minBedrooms=&maxBedrooms=&displayPropertyType=&maxDaysSinceAdded=&_includeSSTC=on&sortByPriceDescending=&primaryDisplayPropertyType=&secondaryDisplayPropertyType=&oldDisplayPropertyType=&oldPrimaryDisplayPropertyType=&newHome=&auction=false
